Cycle,Global_Distance,GCD.x,d_GCD.x,GCD.y[15:0],d_GCD.y[15:0],GCD.y[15:6],d_GCD.y[15:6],GCD.y[5:5],d_GCD.y[5:5],GCD.y[4:3],d_GCD.y[4:3],GCD.y[2:2],d_GCD.y[2:2],GCD.y[1:0],d_GCD.y[1:0]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,48,2,32,1,0,0,1,1,0,0,0,0,0,0
6,1,16,1,32,0,0,0,1,0,0,0,0,0,0,0
7,2,16,0,16,2,0,0,0,1,2,1,0,0,0,0
8,1,16,0,0,1,0,0,0,0,0,1,0,0,0,0
9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,7,4,3,2,0,0,0,0,0,0,0,0,3,2
11,2,4,2,3,0,0,0,0,0,0,0,0,0,3,0
12,2,1,2,3,0,0,0,0,0,0,0,0,0,3,0
13,1,1,0,2,1,0,0,0,0,0,0,0,0,2,1
14,2,1,0,1,2,0,0,0,0,0,0,0,0,1,2
15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,100,4,10,2,0,0,0,0,1,1,0,0,2,1
18,5,90,5,10,0,0,0,0,0,1,0,0,0,2,0
19,2,80,2,10,0,0,0,0,0,1,0,0,0,2,0
20,3,70,3,10,0,0,0,0,0,1,0,0,0,2,0
21,5,60,5,10,0,0,0,0,0,1,0,0,0,2,0
22,3,50,3,10,0,0,0,0,0,1,0,0,0,2,0
23,3,40,3,10,0,0,0,0,0,1,0,0,0,2,0
24,4,30,4,10,0,0,0,0,0,1,0,0,0,2,0
25,2,20,2,10,0,0,0,0,0,1,0,0,0,2,0
26,4,10,4,10,0,0,0,0,0,1,0,0,0,2,0
27,2,10,0,0,2,0,0,0,0,0,1,0,0,0,1
